9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
11375;Y27.2; Escolas outr instit areas admin publica;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - escolas, outras instituições e áreas de administração pública
11376;Y27.3; Area p/a pratica de esportes e atletismo;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - área para a prática de esportes e atletismo
11377;Y27.4; Rua e estrada;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - rua e estrada
11378;Y27.5; Areas de comercio e de servicos;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - áreas de comércio e de serviços
11379;Y27.6; Areas industriais e em construcao;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - áreas industriais e em construção
11380;Y27.7; Fazenda;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - fazenda
11381;Y27.8; Outr locais espec;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - outros locais especificados
11382;Y27.9; Local NE;Exposição a vapor de água, gases ou objetos quentes, intenção não determinada - local não especificado
11383;Y28.0; Residencia;Contato com objeto cortante ou penetrante, intenção não determinada - residência
11384;Y28.1; Habitacao coletiva;Contato com objeto cortante ou penetrante, intenção não determinada - habitação coletiva
11385;Y28.2; Escolas outr instit areas admin publica;Contato com objeto cortante ou penetrante, intenção não determinada - escolas, outras instituições e áreas de administração pública
11386;Y28.3; Area p/a pratica de esportes e atletismo;Contato com objeto cortante ou penetrante, intenção não determinada - área para a prática de esportes e atletismo
11387;Y28.4; Rua e estrada;Contato com objeto cortante ou penetrante, intenção não determinada - rua e estrada
11388;Y28.5; Areas de comercio e de servicos;Contato com objeto cortante ou penetrante, intenção não determinada - áreas de comércio e de serviços
11389;Y28.6; Areas industriais e em construcao;Contato com objeto cortante ou penetrante, intenção não determinada - áreas industriais e em construção
11390;Y28.7; Fazenda;Contato com objeto cortante ou penetrante, intenção não determinada - fazenda
11391;Y28.8; Outr locais espec;Contato com objeto cortante ou penetrante, intenção não determinada - outros locais especificados
11392;Y28.9; Local NE;Contato com objeto cortante ou penetrante, intenção não determinada - local não especificado
11393;Y29.0; Residencia;Contato com objeto contundente, intenção não determinada - residência
11394;Y29.1; Habitacao coletiva;Contato com objeto contundente, intenção não determinada - habitação coletiva
11395;Y29.2; Escolas outr instit areas admin publica;Contato com objeto contundente, intenção não determinada - escolas, outras instituições e áreas de administração pública
11396;Y29.3; Area p/a pratica de esportes e atletismo;Contato com objeto contundente, intenção não determinada - área para a prática de esportes e atletismo
11397;Y29.4; Rua e estrada;Contato com objeto contundente, intenção não determinada - rua e estrada
11398;Y29.5; Areas de comercio e de servicos;Contato com objeto contundente, intenção não determinada - áreas de comércio e de serviços
11399;Y29.6; Areas industriais e em construcao;Contato com objeto contundente, intenção não determinada - áreas industriais e em construção
11400;Y29.7; Fazenda;Contato com objeto contundente, intenção não determinada - fazenda
11401;Y29.8; Outr locais espec;Contato com objeto contundente, intenção não determinada - outros locais especificados
11402;Y29.9; Local NE;Contato com objeto contundente, intenção não determinada - local não especificado
11403;Y30.0; Residencia;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - residência
11404;Y30.1; Habitacao coletiva;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - habitação coletiva
11405;Y30.2; Escolas outr instit areas admin publica;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - escolas, outras instituições e áreas de administração pública
11406;Y30.3; Area p/a pratica de esportes e atletismo;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - área para a prática de esportes e atletismo
11407;Y30.4; Rua e estrada;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - rua e estrada
11408;Y30.5; Areas de comercio e de servicos;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - áreas de comércio e de serviços
11409;Y30.6; Areas industriais e em construcao;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - áreas industriais e em construção
11410;Y30.7; Fazenda;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - fazenda
11411;Y30.8; Outr locais espec;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - outros locais especificados
11412;Y30.9; Local NE;Queda, salto ou empurrado de um lugar elevado, intenção não determinada - local não especificado
11413;Y31.0; Residencia;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - residência
11414;Y31.1; Habitacao coletiva;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - habitação coletiva
11415;Y31.2; Escolas outr instit areas admin publica;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - escolas, outras instituições e áreas de administração pública
11416;Y31.3; Area p/a pratica de esportes e atletismo;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - área para a prática de esportes e atletismo
11417;Y31.4; Rua e estrada;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - rua e estrada
11418;Y31.5; Areas de comercio e de servicos;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - áreas de comércio e de serviços
11419;Y31.6; Areas industriais e em construcao;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - áreas industriais e em construção
11420;Y31.7; Fazenda;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - fazenda
11421;Y31.8; Outr locais espec;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - outros locais especificados
11422;Y31.9; Local NE;Queda, permanência ou corrida diante de um objeto em movimento, intenção não determinada - local não especificado
11423;Y32.0; Residencia;Impacto de um veículo a motor, intenção não determinada - residência
11424;Y32.1; Habitacao coletiva;Impacto de um veículo a motor, intenção não determinada - habitação coletiva
11425;Y32.2; Escolas outr instit areas admin publica;Impacto de um veículo a motor, intenção não determinada - escolas, outras instituições e áreas de administração pública
11426;Y32.3; Area p/a pratica de esportes e atletismo;Impacto de um veículo a motor, intenção não determinada - área para a prática de esportes e atletismo
11427;Y32.4; Rua e estrada;Impacto de um veículo a motor, intenção não determinada - rua e estrada
11428;Y32.5; Areas de comercio e de servicos;Impacto de um veículo a motor, intenção não determinada - áreas de comércio e de serviços
11429;Y32.6; Areas industriais e em construcao;Impacto de um veículo a motor, intenção não determinada - áreas industriais e em construção
11430;Y32.7; Fazenda;Impacto de um veículo a motor, intenção não determinada - fazenda
11431;Y32.8; Outr locais espec;Impacto de um veículo a motor, intenção não determinada - outros locais especificados
11432;Y32.9; Local NE;Impacto de um veículo a motor, intenção não determinada - local não especificado
11433;Y33.0; Residencia;Outros fatos ou eventos especificados, intenção não determinada - residência
11434;Y33.1; Habitacao coletiva;Outros fatos ou eventos especificados, intenção não determinada - habitação coletiva
11435;Y33.2; Escolas outr instit areas admin publica;Outros fatos ou eventos especificados, intenção não determinada - escolas, outras instituições e áreas de administração pública
11436;Y33.3; Area p/a pratica de esportes e atletismo;Outros fatos ou eventos especificados, intenção não determinada - área para a prática de esportes e atletismo
11437;Y33.4; Rua e estrada;Outros fatos ou eventos especificados, intenção não determinada - rua e estrada
11438;Y33.5; Areas de comercio e de servicos;Outros fatos ou eventos especificados, intenção não determinada - áreas de comércio e de serviços
11439;Y33.6; Areas industriais e em construcao;Outros fatos ou eventos especificados, intenção não determinada - áreas industriais e em construção
